
1 明石信道　
2 秋山 富雄　　
ギター	tfidf:0.0867999642483
演奏	tfidf:0.038015555961
秋山	tfidf:0.0329226577071
独奏	tfidf:0.0265997092831
タレガ	tfidf:0.0164613288535
グラナドス	tfidf:0.0164613288535
西班牙	tfidf:0.0164613288535
富雄	tfidf:0.0164613288535
曲目	tfidf:0.0164613288535
当市	tfidf:0.0144666607081
音楽	tfidf:0.0143413662035
会	tfidf:0.0138640927817
静養	tfidf:0.0132998546416
演奏会	tfidf:0.0132998546416
風	tfidf:0.0104773244171
上磯	tfidf:0.0104773244171
研究	tfidf:0.0104074173881
実家	tfidf:0.00931051835056
開催	tfidf:0.00922356620785
教授	tfidf:0.00887805811717
難	tfidf:0.00823066442677
ギタリスト	tfidf:0.00823066442677
演奏者	tfidf:0.00823066442677
梱	tfidf:0.00823066442677
大正天皇	tfidf:0.00823066442677
キリスト教会	tfidf:0.00823066442677
アルベニス	tfidf:0.00823066442677
10月中旬	tfidf:0.00823066442677
小康	tfidf:0.00823066442677
幽邃	tfidf:0.00823066442677
市外	tfidf:0.00823066442677
セレナーデ	tfidf:0.00823066442677
鬼才	tfidf:0.00823066442677
大谷幼稚園	tfidf:0.00823066442677
とみを	tfidf:0.00823066442677
ぎごうり	tfidf:0.00823066442677
鬼気	tfidf:0.00823066442677
テルツ	tfidf:0.00823066442677
学生街	tfidf:0.00823066442677
憶	tfidf:0.00823066442677
24000	tfidf:0.00823066442677
弾奏	tfidf:0.00823066442677
アルハンブラ	tfidf:0.00823066442677
道外	tfidf:0.00823066442677
秋山久美	tfidf:0.00823066442677
ロマンチスト	tfidf:0.00823066442677
当夜	tfidf:0.00823066442677
宵	tfidf:0.00823066442677
フイレール	tfidf:0.00823066442677
サルコリ	tfidf:0.00823066442677
書斎	tfidf:0.00823066442677
崩御	tfidf:0.00823066442677
娘心	tfidf:0.00823066442677
惹	tfidf:0.00823066442677
不帰	tfidf:0.00823066442677
帝政ロシア	tfidf:0.00823066442677
おろそか	tfidf:0.00823066442677
舞曲	tfidf:0.00823066442677
夜曲	tfidf:0.00823066442677
音楽家	tfidf:0.00823066442677
マラツ	tfidf:0.00823066442677
タベ	tfidf:0.00823066442677
快復	tfidf:0.00823066442677
気の毒	tfidf:0.00823066442677
皆さん	tfidf:0.00823066442677
やな	tfidf:0.00823066442677
感じ	tfidf:0.00823066442677
愛着	tfidf:0.00823066442677
ゆうすい	tfidf:0.00823066442677
病	tfidf:0.00755404257434
33歳	tfidf:0.00723333035403
楽譜	tfidf:0.00723333035403
躾	tfidf:0.00723333035403
祭典	tfidf:0.00723333035403
風呂	tfidf:0.00723333035403
オーバー	tfidf:0.00723333035403
マンドリン	tfidf:0.00723333035403
上級生	tfidf:0.00723333035403
伝説	tfidf:0.00723333035403
7月25日	tfidf:0.00723333035403
聴衆	tfidf:0.00723333035403
円熟	tfidf:0.00723333035403
必死	tfidf:0.00723333035403
7月18日	tfidf:0.00723333035403
強烈	tfidf:0.00723333035403
レッスン	tfidf:0.00723333035403
急	tfidf:0.00723333035403
1回	tfidf:0.00719837683954
方	tfidf:0.00687225112642
19日	tfidf:0.00664992732078
反響	tfidf:0.00664992732078
中途	tfidf:0.00664992732078
変	tfidf:0.00664992732078
柳	tfidf:0.00664992732078
病弱	tfidf:0.00664992732078
悪化	tfidf:0.00664992732078
卓越	tfidf:0.00664992732078
遺児	tfidf:0.00664992732078
惜	tfidf:0.00664992732078
同級生	tfidf:0.00664992732078
焼失	tfidf:0.00631352878271
2月28日	tfidf:0.00623599628128
革命	tfidf:0.00623599628128
早稲田	tfidf:0.00623599628128
精進	tfidf:0.00623599628128
恵比須町	tfidf:0.00591492642327
現実	tfidf:0.00591492642327
門弟	tfidf:0.00591492642327
5月14日	tfidf:0.00591492642327
一杯	tfidf:0.00591492642327
高龍寺	tfidf:0.00591492642327
食事	tfidf:0.00591492642327
亡命	tfidf:0.00591492642327
大火	tfidf:0.0057747905321
技	tfidf:0.00565259324803
弘前	tfidf:0.00565259324803
記事	tfidf:0.00565259324803
精力的	tfidf:0.00565259324803
創立	tfidf:0.00550690442255
行年	tfidf:0.00543079370871
別れ	tfidf:0.00543079370871
印象	tfidf:0.00543079370871
立派	tfidf:0.00523866220853
戸	tfidf:0.00523866220853
ん	tfidf:0.00523866220853
学業	tfidf:0.00506919021478
子供たち	tfidf:0.00506919021478
知人	tfidf:0.00506919021478
以外	tfidf:0.00491759235052
ロシア人	tfidf:0.00491759235052
冬	tfidf:0.00491759235052
退学	tfidf:0.00478045540116
美	tfidf:0.00478045540116
大変	tfidf:0.00478045540116
いずれ	tfidf:0.00478045540116
芸術	tfidf:0.00465525917528
倶楽部	tfidf:0.00465525917528
状態	tfidf:0.00465525917528
客	tfidf:0.00465525917528
明治38年	tfidf:0.00465525917528
再開	tfidf:0.00454008981172
室蘭	tfidf:0.00443345963596
帰	tfidf:0.00433418931727
毎年	tfidf:0.00424132813578
学生	tfidf:0.00424132813578
北方	tfidf:0.00424132813578
初期	tfidf:0.0041540984641
勃発	tfidf:0.00407185614203
大正14年	tfidf:0.00407185614203
専念	tfidf:0.00399406157905
傍ら	tfidf:0.00399406157905
よう	tfidf:0.00399073912666
昭和12年	tfidf:0.00385005660271
さん	tfidf:0.00385005660271
先生	tfidf:0.00378312132842
昭和10年	tfidf:0.00371916195781
以上	tfidf:0.00365792510253
今	tfidf:0.00365792510253
機	tfidf:0.00359918841977
家業	tfidf:0.00348845310878
最後	tfidf:0.00348845310878
事	tfidf:0.00333685524453
商業学校	tfidf:0.00333685524453
新聞	tfidf:0.00328967564334
